day,rainfall_mm,date
163,0.0,2024-06-11
164,0.0,2024-06-12
165,0.0,2024-06-13
166,0.0,2024-06-14
167,0.0,2024-06-15
168,0.0,2024-06-16
169,0.0,2024-06-17
170,0.0,2024-06-18
171,6.0677066,2024-06-19
172,18.87437,2024-06-20
173,0.0,2024-06-21
174,0.0,2024-06-22
175,0.0,2024-06-23
176,0.16784628,2024-06-24
177,8.118294,2024-06-25
178,27.336685,2024-06-26
179,19.443224,2024-06-27
180,0.0,2024-06-28
181,0.0,2024-06-29
182,38.15918,2024-06-30
183,53.45082,2024-07-01
184,6.601277,2024-07-02
185,5.020201,2024-07-03
186,3.0888739,2024-07-04
187,28.64861,2024-07-05
188,49.254993,2024-07-06
189,20.89381,2024-07-07
190,0.0,2024-07-08
191,0.0,2024-07-09
192,0.0,2024-07-10
193,0.0,2024-07-11
194,0.0,2024-07-12
195,0.0,2024-07-13
196,12.706456,2024-07-14
197,0.11972135,2024-07-15
198,12.911001,2024-07-16
199,0.28467235,2024-07-17
200,0.64841396,2024-07-18
201,0.0,2024-07-19
202,35.30942,2024-07-20
203,24.057463,2024-07-21
204,25.525661,2024-07-22
205,1.7606746,2024-07-23
206,0.0,2024-07-24
207,4.3625283,2024-07-25
208,15.807449,2024-07-26
209,112.32825,2024-07-27
210,0.0,2024-07-28
211,40.159847,2024-07-29
212,19.061438,2024-07-30
213,17.156902,2024-07-31
214,18.339071,2024-08-01
215,50.363125,2024-08-02
216,36.745953,2024-08-03
217,18.27292,2024-08-04
218,12.738331,2024-08-05
219,1.0350981,2024-08-06
220,38.941307,2024-08-07
221,3.4869494,2024-08-08
222,1.1586437,2024-08-09
223,57.099632,2024-08-10
224,36.678165,2024-08-11
225,15.410177,2024-08-12
226,15.782787,2024-08-13
227,6.4504147,2024-08-14
228,61.801216,2024-08-15
229,20.340359,2024-08-16
230,0.6676859,2024-08-17
231,0.0,2024-08-18
232,4.0541863,2024-08-19
233,2.1593318,2024-08-20
234,154.67676,2024-08-21
235,40.688107,2024-08-22
236,43.297394,2024-08-23
237,2.722255,2024-08-24
238,16.044527,2024-08-25
239,0.0,2024-08-26
240,10.451722,2024-08-27
241,3.8044705,2024-08-28
242,10.033344,2024-08-29
243,52.049118,2024-08-30
244,0.0,2024-08-31
245,0.0,2024-09-01
246,82.46399,2024-09-02
247,35.47026,2024-09-03
248,5.6389437,2024-09-04
249,0.523167,2024-09-05
250,10.837294,2024-09-06
251,16.349453,2024-09-07
252,3.5045645,2024-09-08
253,0.0,2024-09-09
254,0.0,2024-09-10
255,3.9237523,2024-09-11
256,19.000528,2024-09-12
257,50.999973,2024-09-13
258,22.93376,2024-09-14
259,0.0,2024-09-15
260,0.0,2024-09-16
261,0.0,2024-09-17
262,15.795913,2024-09-18
263,0.0,2024-09-19
264,0.0,2024-09-20
265,0.0,2024-09-21
266,0.0,2024-09-22
267,0.0,2024-09-23
268,0.0,2024-09-24
269,0.0,2024-09-25
270,73.21322,2024-09-26
271,0.5247325,2024-09-27
272,7.533624,2024-09-28
273,0.0,2024-09-29
274,0.0,2024-09-30
275,0.0,2024-10-01
276,0.0,2024-10-02
277,0.0,2024-10-03
278,0.0,2024-10-04
279,0.0,2024-10-05
280,0.0,2024-10-06
281,0.0,2024-10-07
282,0.0,2024-10-08
283,4.359725,2024-10-09
284,0.0,2024-10-10
285,0.0,2024-10-11
286,0.0,2024-10-12
287,0.0,2024-10-13
288,0.0,2024-10-14
289,0.0,2024-10-15
290,0.0,2024-10-16
291,0.0,2024-10-17
292,0.0,2024-10-18
293,0.0,2024-10-19
294,0.0,2024-10-20
295,0.0,2024-10-21
296,0.0,2024-10-22
297,0.0,2024-10-23
298,0.0,2024-10-24
299,0.0,2024-10-25
300,0.0,2024-10-26
301,0.0,2024-10-27
302,0.0,2024-10-28
303,0.0,2024-10-29
304,0.0,2024-10-30
305,0.0,2024-10-31
306,0.0,2024-11-01
307,0.0,2024-11-02
308,0.0,2024-11-03
309,0.0,2024-11-04
310,0.0,2024-11-05
311,0.0,2024-11-06
312,0.0,2024-11-07
313,0.0,2024-11-08
314,0.0,2024-11-09
315,0.0,2024-11-10
316,0.0,2024-11-11
317,0.0,2024-11-12
318,0.0,2024-11-13
319,0.0,2024-11-14
320,0.0,2024-11-15
321,0.0,2024-11-16
322,0.0,2024-11-17
323,0.0,2024-11-18
324,0.0,2024-11-19
325,0.0,2024-11-20
326,0.0,2024-11-21
327,0.0,2024-11-22
328,0.0,2024-11-23
329,0.0,2024-11-24
330,0.0,2024-11-25
331,0.0,2024-11-26
332,0.0,2024-11-27
333,0.0,2024-11-28
334,0.0,2024-11-29
335,0.0,2024-11-30
336,0.0,2024-12-01
337,0.0,2024-12-02
338,0.0,2024-12-03
339,0.0,2024-12-04
340,0.0,2024-12-05
341,0.0,2024-12-06
342,0.0,2024-12-07
343,0.0,2024-12-08
344,0.0,2024-12-09
345,0.0,2024-12-10
346,0.0,2024-12-11
347,0.0,2024-12-12
348,0.0,2024-12-13
349,0.0,2024-12-14
350,0.0,2024-12-15
351,0.0,2024-12-16
352,0.0,2024-12-17
353,0.0,2024-12-18
354,0.0,2024-12-19
355,0.0,2024-12-20
356,0.0,2024-12-21
357,0.0,2024-12-22
358,0.0,2024-12-23
359,1.9122725,2024-12-24
360,0.0,2024-12-25
361,0.0,2024-12-26
362,0.0,2024-12-27
363,30.905615,2024-12-28
364,17.484638,2024-12-29
365,0.0,2024-12-30
366,0.0,2024-12-31
